url_path,views_total,views_unique
/richibrics/IoTuring,26,20
/richibrics/IoTuring/blob/main/docs/images/device_info.png,3,3
/richibrics/IoTuring/tree/main/IoTuring,3,2
/richibrics/IoTuring/blob/main/IoTuring/MyApp/SystemConsts/__init__.py,2,1
/richibrics/IoTuring/actions/runs/20732993794/workflow,1,1
/richibrics/IoTuring/blob/main/IoTuring/Entity/Deployments/Power/Power.py,1,1
/richibrics/IoTuring/blob/main/IoTuring/MyApp/App.py,1,1
/richibrics/IoTuring/blob/main/IoTuring/Settings/Deployments/AppSettings/AppSettings.py,1,1
/richibrics/IoTuring/blob/main/IoTuring/Settings/Settings.py,1,1
/richibrics/IoTuring/commit/a58f5452a9e4f8eb09dd9b7542550bb6967a5e3a,1,1
