time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,6,4,5.0,2.0
2025-06-11 00:00:00+00:00,2,2,5.0,2.0
2025-06-12 00:00:00+00:00,1,1,3.0,3.0
2025-06-13 00:00:00+00:00,3,3,,
2025-06-14 00:00:00+00:00,3,3,8.0,4.0
2025-06-15 00:00:00+00:00,3,3,,
2025-06-16 00:00:00+00:00,7,6,9.0,7.0
2025-06-17 00:00:00+00:00,7,4,8.0,5.0
2025-06-18 00:00:00+00:00,4,4,7.0,3.0
2025-06-19 00:00:00+00:00,4,4,5.0,5.0
2025-06-20 00:00:00+00:00,5,5,18.0,5.0
2025-06-21 00:00:00+00:00,3,2,7.0,7.0
2025-06-22 00:00:00+00:00,1,1,10.0,3.0
2025-06-23 00:00:00+00:00,4,3,12.0,10.0
