time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-09 00:00:00+00:00,52,5,80,2
2023-02-10 00:00:00+00:00,35,5,40,3
2023-02-11 00:00:00+00:00,5,3,5,2
2023-02-12 00:00:00+00:00,1,1,2,2
2023-02-13 00:00:00+00:00,7,3,15,1
2023-02-14 00:00:00+00:00,1,1,5,2
2023-02-15 00:00:00+00:00,39,8,60,1
2023-02-16 00:00:00+00:00,36,6,52,5
2023-02-17 00:00:00+00:00,14,4,39,3
2023-02-18 00:00:00+00:00,1,1,2,2
2023-02-19 00:00:00+00:00,1,1,8,6
2023-02-20 00:00:00+00:00,2,2,6,4
2023-02-21 00:00:00+00:00,1,1,1,1
2023-02-22 00:00:00+00:00,2,1,9,2
