time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,6,3,5,4
2025-03-24 00:00:00+00:00,10,4,7,2
2025-03-25 00:00:00+00:00,6,3,3,2
2025-03-26 00:00:00+00:00,6,3,7,5
2025-03-27 00:00:00+00:00,5,2,16,5
2025-03-28 00:00:00+00:00,1,1,4,4
2025-03-29 00:00:00+00:00,1,1,1,1
2025-03-30 00:00:00+00:00,8,5,5,3
2025-03-31 00:00:00+00:00,3,3,8,7
2025-04-01 00:00:00+00:00,5,5,5,4
2025-04-02 00:00:00+00:00,1,1,4,4
2025-04-03 00:00:00+00:00,6,3,5,5
2025-04-04 00:00:00+00:00,5,2,4,3
2025-04-05 00:00:00+00:00,4,2,3,3
