time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-12 00:00:00+00:00,2.0,2.0,13,4
2024-04-13 00:00:00+00:00,2.0,2.0,4,3
2024-04-14 00:00:00+00:00,,,88,2
2024-04-15 00:00:00+00:00,2.0,2.0,8,3
2024-04-16 00:00:00+00:00,2.0,2.0,28,9
2024-04-17 00:00:00+00:00,1.0,1.0,4,3
2024-04-18 00:00:00+00:00,1.0,1.0,2,2
2024-04-19 00:00:00+00:00,6.0,3.0,1,1
2024-04-20 00:00:00+00:00,5.0,4.0,7,4
2024-04-21 00:00:00+00:00,5.0,2.0,9,3
2024-04-22 00:00:00+00:00,2.0,2.0,5,1
2024-04-23 00:00:00+00:00,1.0,1.0,1,1
2024-04-24 00:00:00+00:00,1.0,1.0,2,2
2024-04-25 00:00:00+00:00,1.0,1.0,12,5
