time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-03 00:00:00+00:00,5,3,3.0,2.0
2023-01-04 00:00:00+00:00,2,2,137.0,24.0
2023-01-05 00:00:00+00:00,2,2,16.0,3.0
2023-01-06 00:00:00+00:00,4,4,4.0,4.0
2023-01-07 00:00:00+00:00,2,2,6.0,3.0
2023-01-08 00:00:00+00:00,1,1,22.0,2.0
2023-01-09 00:00:00+00:00,3,3,2.0,2.0
2023-01-10 00:00:00+00:00,12,6,85.0,4.0
2023-01-11 00:00:00+00:00,1,1,49.0,5.0
2023-01-12 00:00:00+00:00,3,3,27.0,4.0
2023-01-13 00:00:00+00:00,1,1,2.0,2.0
2023-01-14 00:00:00+00:00,1,1,6.0,4.0
2023-01-15 00:00:00+00:00,2,2,9.0,4.0
2023-01-16 00:00:00+00:00,2,2,,
