time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-08 00:00:00+00:00,6,3,31,6
2025-02-09 00:00:00+00:00,5,2,5,3
2025-02-10 00:00:00+00:00,6,3,5,4
2025-02-11 00:00:00+00:00,3,2,14,5
2025-02-12 00:00:00+00:00,1,1,3,3
2025-02-13 00:00:00+00:00,5,4,3,3
2025-02-14 00:00:00+00:00,4,2,6,3
2025-02-15 00:00:00+00:00,1,1,2,2
2025-02-16 00:00:00+00:00,1,1,8,5
2025-02-17 00:00:00+00:00,2,2,3,3
2025-02-18 00:00:00+00:00,6,2,41,7
2025-02-19 00:00:00+00:00,3,2,2,1
2025-02-20 00:00:00+00:00,1,1,3,3
2025-02-21 00:00:00+00:00,4,2,1,1
