time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,34,8,18,7
2025-12-03 00:00:00+00:00,113,27,2,2
2025-12-04 00:00:00+00:00,7,3,3,3
2025-12-05 00:00:00+00:00,16,9,1,1
2025-12-06 00:00:00+00:00,8,8,8,6
2025-12-07 00:00:00+00:00,7,3,1,1
2025-12-08 00:00:00+00:00,19,10,3,3
2025-12-09 00:00:00+00:00,15,9,2,2
2025-12-10 00:00:00+00:00,5,5,13,6
2025-12-11 00:00:00+00:00,11,7,13,2
2025-12-12 00:00:00+00:00,14,6,3,1
2025-12-13 00:00:00+00:00,3,3,1,1
2025-12-14 00:00:00+00:00,10,6,1,1
2025-12-15 00:00:00+00:00,9,5,6,1
