time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-05 00:00:00+00:00,2.0,2.0,14,6
2025-01-06 00:00:00+00:00,2.0,2.0,38,7
2025-01-07 00:00:00+00:00,1.0,1.0,3,3
2025-01-08 00:00:00+00:00,2.0,2.0,41,7
2025-01-09 00:00:00+00:00,3.0,2.0,20,9
2025-01-10 00:00:00+00:00,19.0,18.0,13,6
2025-01-11 00:00:00+00:00,1.0,1.0,8,5
2025-01-12 00:00:00+00:00,,,8,7
2025-01-13 00:00:00+00:00,1.0,1.0,9,6
2025-01-14 00:00:00+00:00,,,23,5
2025-01-15 00:00:00+00:00,1.0,1.0,70,10
2025-01-16 00:00:00+00:00,,,95,13
2025-01-17 00:00:00+00:00,3.0,2.0,29,6
2025-01-18 00:00:00+00:00,1.0,1.0,3,3
