time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-25 00:00:00+00:00,4.0,3.0,18,5
2024-12-26 00:00:00+00:00,1.0,1.0,5,3
2024-12-27 00:00:00+00:00,2.0,1.0,16,7
2024-12-28 00:00:00+00:00,1.0,1.0,6,3
2024-12-29 00:00:00+00:00,2.0,1.0,3,2
2024-12-30 00:00:00+00:00,1.0,1.0,9,4
2024-12-31 00:00:00+00:00,1.0,1.0,2,2
2025-01-01 00:00:00+00:00,2.0,1.0,12,3
2025-01-02 00:00:00+00:00,,,9,6
2025-01-03 00:00:00+00:00,1.0,1.0,12,4
2025-01-04 00:00:00+00:00,1.0,1.0,9,4
2025-01-05 00:00:00+00:00,2.0,2.0,14,6
2025-01-06 00:00:00+00:00,2.0,2.0,38,7
2025-01-07 00:00:00+00:00,1.0,1.0,2,2
