time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-03 00:00:00+00:00,15,4,40,2
2023-02-04 00:00:00+00:00,4,2,12,3
2023-02-05 00:00:00+00:00,4,2,9,2
2023-02-06 00:00:00+00:00,5,3,10,2
2023-02-07 00:00:00+00:00,2,2,73,5
2023-02-08 00:00:00+00:00,22,7,74,3
2023-02-09 00:00:00+00:00,52,5,80,2
2023-02-10 00:00:00+00:00,35,5,40,3
2023-02-11 00:00:00+00:00,5,3,5,2
2023-02-12 00:00:00+00:00,1,1,2,2
2023-02-13 00:00:00+00:00,7,3,15,1
2023-02-14 00:00:00+00:00,1,1,5,2
2023-02-15 00:00:00+00:00,39,8,60,1
2023-02-16 00:00:00+00:00,35,5,52,5
