time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-25 00:00:00+00:00,14,6,3,3
2026-01-26 00:00:00+00:00,21,9,6,4
2026-01-27 00:00:00+00:00,7,3,0,0
2026-01-28 00:00:00+00:00,8,4,3,3
2026-01-29 00:00:00+00:00,10,6,4,3
2026-01-30 00:00:00+00:00,5,5,1,1
2026-01-31 00:00:00+00:00,9,5,2,1
2026-02-01 00:00:00+00:00,16,8,2,1
2026-02-02 00:00:00+00:00,5,5,2,2
2026-02-03 00:00:00+00:00,2,2,0,0
2026-02-04 00:00:00+00:00,6,3,8,2
2026-02-05 00:00:00+00:00,12,8,10,3
2026-02-06 00:00:00+00:00,18,10,3,1
2026-02-07 00:00:00+00:00,6,6,2,2
