time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-22 00:00:00+00:00,6,6,2,2
2025-11-23 00:00:00+00:00,2,2,4,4
2025-11-24 00:00:00+00:00,4,4,7,3
2025-11-25 00:00:00+00:00,2,2,8,1
2025-11-26 00:00:00+00:00,6,6,29,6
2025-11-27 00:00:00+00:00,4,4,10,5
2025-11-28 00:00:00+00:00,2,2,4,3
2025-11-29 00:00:00+00:00,4,4,3,1
2025-11-30 00:00:00+00:00,2,2,2,2
2025-12-01 00:00:00+00:00,38,12,6,4
2025-12-02 00:00:00+00:00,34,8,18,7
2025-12-03 00:00:00+00:00,113,27,2,2
2025-12-04 00:00:00+00:00,7,3,3,3
2025-12-05 00:00:00+00:00,15,8,1,1
