time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-06 00:00:00+00:00,1.0,1.0,65,5
2024-01-07 00:00:00+00:00,1.0,1.0,24,6
2024-01-08 00:00:00+00:00,7.0,3.0,87,8
2024-01-09 00:00:00+00:00,9.0,5.0,60,8
2024-01-10 00:00:00+00:00,4.0,3.0,19,7
2024-01-11 00:00:00+00:00,1.0,1.0,13,10
2024-01-12 00:00:00+00:00,6.0,4.0,9,8
2024-01-13 00:00:00+00:00,2.0,2.0,7,7
2024-01-14 00:00:00+00:00,5.0,3.0,13,5
2024-01-15 00:00:00+00:00,6.0,5.0,3,3
2024-01-16 00:00:00+00:00,1.0,1.0,9,5
2024-01-17 00:00:00+00:00,1.0,1.0,29,4
2024-01-18 00:00:00+00:00,2.0,2.0,9,6
2024-01-19 00:00:00+00:00,,,13,6
