time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,2,2,,
2025-10-13 00:00:00+00:00,18,15,13.0,1.0
2025-10-14 00:00:00+00:00,12,7,,
2025-10-15 00:00:00+00:00,12,7,7.0,4.0
2025-10-16 00:00:00+00:00,22,6,8.0,3.0
2025-10-17 00:00:00+00:00,7,5,3.0,3.0
2025-10-18 00:00:00+00:00,11,6,6.0,4.0
2025-10-19 00:00:00+00:00,11,6,6.0,6.0
2025-10-20 00:00:00+00:00,21,10,41.0,6.0
2025-10-21 00:00:00+00:00,5,5,15.0,5.0
2025-10-22 00:00:00+00:00,14,8,1.0,1.0
2025-10-23 00:00:00+00:00,15,5,1.0,1.0
2025-10-24 00:00:00+00:00,23,8,1.0,1.0
2025-10-25 00:00:00+00:00,3,3,4.0,4.0
